"ΕΛΛΛΗΝΙΚΗ ΔΗΜΟΚΡΑΤΙΑ 
ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΕΣΣΑΛΟΝΙΚΗΣ";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1η ΤΡΟΠΟΠΟΙΗΣΗ ΑΝΑΠΤΥΞΙΑΚΟΥ ΠΡΟΫΠΟΛΟΓΙΣΜΟΥ (ΠΡΟΓΡΑΜΜΑ ΕΞΕΙΔΙΚΕΥΣΗΣ ΑΝΤΑΠΟΔΟΤΙΚΩΝ ΤΕΛΩΝ) ΕΤΟΥΣ 2017;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Α/Α;ΚΩΔ. ΕΡΓΟΥ Ε.Π.;ΚΑΕ ΕΞΟΔΟΥ;ΕΤΟΣ ΕΝΤΑΞΗΣ ;Σ/Ν;ΤΙΤΛΟΣ ΕΡΓΟΥ;ΠΡΟΫΠΟΛΟΓΙΣΜΟΣ ;;ΠΛΗΡΩΜΕΣ ΜΕΧΡΙ 31/12/2016;ΥΠΟΛΟΙΠΟ ΤΗΝ 1/1/2017;ΠΙΣΤΩΣΕΙΣ 2017;ΚΑΤΑΝΟΜΗ ΧΡΗΜΑΤΟΔΟΤΗΣΗΣ ;;;ΥΠΗΡΕΣΙΕΣ ΥΛΟΠΟΙΗΣΗΣ ;ΠΑΡΑΤΗΡΗΣΕΙΣ 
;;;;;;ΕΓΚΕΚΡ.;ΠΡΟΤΕΙΝ.;;;;2018;2019;2020;;
ΑΞΟΝΑΣ 1 - ΠΡΟΣΤΑΣΙΑ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΒΕΛΤΙΩΣΗ ΠΟΙΟΤΗΤΑΣ ΖΩΗΣ;;;;;;;;;;;;;;;
ΜΕΤΡΟ 1.2 ΠΡΟΣΤΑΣΙΑ ΚΑΙ ΑΝΑΔΕΙΞΗ ΦΥΣΙΚΟΥ ΚΑΙ ΔΟΜΗΜΕΝΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ (ΔΙΑΧΕΙΡΙΣΤΙΚΑ ΣΧΕΔΙΑ - ΜΕΛΕΤΕΣ & ΕΡΓΑ ΕΡΜΗΝΕΙΑΣ ΠΕΡΙΒΑΛΛΟΝΤΟΣ - ΑΠΟΚΑΤΑΣΤΑΣΗ ΠΕΡΙΒΑΛΛΟΝΤΟΣ - ΧΩΡΟΤΑΞΙΚΟΣ & ΠΟΛΕΟΔΟΜΙΚΟΣ ΣΧΕΔΙΑΣΜΟΣ);;;;;;;;;;;;;;;
ΣΤΟΧΟΣ 1.2.2 ΠΡΟΣΤΑΣΙΑ, ΑΝΑΔΕΙΞΗ ΚΑΙ ΑΠΟΚΑΤΑΣΤΑΣΗ ΠΕΡΙΒΑΛΛΟΝΤΟΣ;;;;;;;;;;;;;;;
ΔΡΑΣΗ 1.2.2.2 Έργα αποκατάστασης περιβάλλοντος;;;;;;;;;;;;;;;
1;1222ΘΕΣ001ΑΝΤΙ15;;2015;Σ;Ανανέωση του αλσυλίου στον αύλειο χώρο του κτιρίου της Π.Κ.Μ.;7,000.00;7,000.00;0.00;7,000.00;7,000.00;0.00;0.00;0.00;Διεύθυνση Αγροτικής Οικονομίας και Αλιείας ΜΕΘ;οφειλή
ΣΥΝΟΛΟ ΔΡΑΣΗΣ 1.1.2.2;;;;;;7,000.00;7,000.00;0.00;7,000.00;7,000.00;0.00;0.00;0.00;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
ΜΕΤΡΟ 1.5 ΔΙΑΧΕΙΡΙΣΗ ΥΔΑΤΙΝΩΝ ΠΟΡΩΝ - ΥΔΡΕΥΣΕΙΣ;;;;;;;;;;;;;;;
